time	action	midinote	velocity
286.114335304	144	43	42
286.155344145	128	43	64
286.166876111	144	102	109
286.22725656	128	102	64
286.297164073	144	102	118
286.340074373	128	102	64
286.39944636	144	102	127
286.433903215	144	43	95
286.443246946	128	102	64
286.452877365	128	43	64
287.150777834	144	43	58
287.153452863	128	43	64
287.2298415	144	102	90
287.309930508	128	102	64
287.587831129	144	102	110
287.60743324	128	102	64
287.855013482	144	102	103
287.908904237	128	102	64
288.112007078	144	43	46
288.133404314	128	43	64
288.320850998	144	102	100
288.377738186	128	102	64
288.487986087	144	43	54
288.543482468	128	43	64
288.673061099	144	102	101
288.710305097	128	102	64
288.85743054	144	43	56
288.905602424	128	43	64
289.193277693	144	43	52
289.248131495	128	43	64
289.608655404	144	102	97
289.658929659	128	102	64
289.904483366	144	102	102
289.943648276	128	102	64
290.236116799	144	102	100
290.276782674	128	102	64
291.593845048	144	43	32
291.594063141	128	43	64
291.595010618	144	43	36
291.817718053	128	43	64
292.217006095	144	43	41
292.309812637	128	43	64
292.736560769	144	43	65
292.826445469	128	43	64
293.046577436	144	43	71
293.136063186	128	43	64
293.271714873	144	43	75
293.331601777	128	43	64
293.43277941	144	43	81
293.499982636	128	43	64
293.542226208	128	102	64
293.620595747	144	43	87
293.711186867	128	43	64
293.759885151	144	43	84
293.881549417	128	43	64
295.233431308	144	43	87
295.266736287	128	43	64
295.37935795	144	43	51
295.442847813	128	43	64
295.449734656	144	43	91
295.535067048	128	43	64
295.552436113	144	43	53
295.623191014	128	43	64
295.627091675	144	43	89
295.759370612	128	43	64
295.759822168	144	43	55
295.764229455	128	43	64
295.786242639	144	43	93
295.876564414	128	43	64
295.876663993	144	43	56
295.911574355	128	43	64
295.911673322	144	43	92
295.991822035	128	43	64
296.058801338	144	43	54
296.062524028	128	43	64
296.097659299	144	43	90
296.17161909	128	43	64
296.171717062	144	43	52
296.219042047	128	43	64
296.794021614	144	43	47
296.8065419	128	43	64
297.189746593	144	43	32
297.266897375	128	43	64
297.80366237	144	43	35
297.864707148	128	43	64
298.27016971	144	43	60
298.37855465	128	43	64
298.650745968	144	43	71
298.702320869	128	43	64
298.838929479	144	43	81
298.866605398	128	43	64
299.002421227	144	43	81
299.06030702	128	43	64
299.156251569	144	43	80
299.201583808	128	43	64
299.310889441	144	43	86
299.351191303	128	43	64
299.389042087	144	62	34
299.428109966	128	62	64
299.460363516	144	43	81
299.546269368	128	43	64
299.771109621	144	62	69
299.824101051	128	62	64
299.915815323	144	62	83
299.980442312	128	62	64
300.066222207	144	62	94
300.107247038	128	62	64
300.183557879	144	62	105
300.245064164	128	62	64
