time	action	midinote	velocity
1.206713562	144	74	44
1.266157044	128	74	64
1.767008384	144	74	75
1.80387561	128	74	64
3.200409168	144	74	46
3.240384623	128	74	64
4.268960282	144	74	45
4.323003368	128	74	64
5.482313852	144	74	83
5.5211353	128	74	64
11.564045358	144	74	28
11.594882839	128	74	64
32.698267484	144	74	88
32.699882835	128	74	64
34.226976698	144	74	58
34.231279348	128	74	64
34.919430039	144	74	68
34.959997737	128	74	64
35.99879197	144	74	80
36.044771177	128	74	64
36.505287955	144	74	33
36.566574449	128	74	64
36.919138295	144	74	76
36.933285404	128	74	64
37.083267101	144	74	73
37.131361321	128	74	64
37.229740215	144	74	95
37.289099117	128	74	64
37.405433729	144	74	80
37.42334668	128	74	64
39.971657414	144	74	4
40.022377511	128	74	64
40.519408497	144	74	7
40.586652941	128	74	64
40.900312778	144	74	3
40.989600645	128	74	64
41.132126383	144	74	18
41.173611969	128	74	64
41.353885669	144	74	19
41.387398868	128	74	64
41.516743225	144	74	20
41.609194258	128	74	64
41.778159901	144	74	20
41.815186	128	74	64
41.962326796	144	74	21
42.051725392	128	74	64
42.127909474	144	74	23
42.203629895	128	74	64
42.320430763	144	74	24
42.366759076	128	74	64
42.432031684	144	74	27
42.502276941	128	74	64
42.560052596	144	74	28
42.664703107	128	74	64
42.769338707	144	74	26
42.816597656	128	74	64
42.898535703	144	74	30
42.964771226	128	74	64
42.999137029	144	74	35
43.089073178	128	74	64
43.196041186	144	74	35
43.291764584	128	74	64
43.367133372	144	74	37
43.440534241	128	74	64
43.524449195	144	74	36
43.624381227	128	74	64
68.438399378	144	97	18
68.472718045	128	97	64
68.935030874	144	97	25
68.988828531	128	97	64
69.288681888	144	97	35
69.372268158	128	97	64
69.479824068	144	97	48
69.631084218	128	97	64
69.692747951	144	97	58
69.788351355	128	97	64
69.932539699	144	97	76
69.95678005	128	97	64
70.120905642	144	97	101
70.121059732	128	97	64
72.33522562	144	97	60
73.913364055	144	74	31
74.008237324	128	74	64
74.247309635	128	97	64
74.405143447	144	74	54
74.485310385	128	74	64
74.599858957	144	74	56
74.663032312	128	74	64
74.779226018	144	74	65
74.844794934	128	74	64
74.884882736	144	97	85
74.954785621	144	74	67
75.034378336	128	74	64
75.084126148	144	74	70
75.763778578	128	97	64
76.139757661	128	74	64
76.18955272	144	74	75
76.260620388	128	74	64
76.395100949	144	97	81
76.832272343	128	97	64
77.271550391	144	97	79
77.580454797	128	97	64
77.658319021	144	74	41
77.828192972	128	74	64
78.165633654	144	74	43
80.943281919	128	74	64
81.223753795	144	74	38
81.388758947	128	74	64
81.787632603	144	74	40
81.843943183	128	74	64
82.281265745	144	74	43
82.36822602	128	74	64
82.805486498	144	74	44
