time	action	midinote	velocity
0.777908158	144	30	52
0.9324827290000001	128	30	64
1.049665571	144	95	73
1.079949224	144	25	97
1.095257715	144	98	73
1.110195199	128	98	64
1.121286393	144	65	1
1.151634286	128	95	64
1.16712299	128	25	64
1.206251589	128	65	64
1.339553027	144	62	77
1.346187929	144	34	55
1.387328492	144	104	83
1.477339288	128	62	64
1.4898720540000001	128	34	64
1.4988964820000001	128	104	64
1.8239894410000002	144	99	68
1.8356294960000001	144	25	47
1.8595614710000001	144	62	78
1.8984280560000002	144	103	37
1.900043874	128	25	64
1.920421122	128	99	64
1.937273537	144	67	88
1.9915868190000001	128	103	64
1.994461813	128	67	64
2.007323768	128	62	64
2.024923859	144	65	1
2.040395338	144	34	56
2.084225964	144	95	58
2.118311947	144	21	18
2.168038274	128	95	64
2.173955718	128	21	64
2.192228105	128	65	64
2.206954659	128	34	64
2.3050592930000002	144	93	79
2.334894146	128	93	64
2.375433327	144	28	61
2.414457657	144	21	62
2.432341762	128	28	64
2.435682292	144	62	79
2.488598547	144	104	69
2.5052249509999998	128	21	64
2.541529777	128	62	64
2.556595938	128	104	64
2.557013872	144	98	65
2.561309992	144	99	79
2.568770916	144	25	92
2.612897754	128	98	64
2.625419671	128	25	64
2.664827127	144	34	53
2.712573626	144	89	55
2.712992734	144	103	47
2.7582317080000003	128	99	64
2.781537456	144	60	73
2.8074799720000003	128	34	64
2.808163813	128	103	64
2.808949005	144	93	82
2.833176505	128	60	64
2.854755233	144	104	69
2.876625621	144	25	76
2.920305912	128	25	64
2.9357737200000003	144	105	48
2.962613407	128	104	64
2.969539595	144	46	76
3.010184364	144	62	81
3.010400717	144	21	58
3.016729906	144	98	49
3.026003454	144	104	64
3.036828347	144	83	62
3.051756361	128	21	64
3.083445893	128	83	64
3.085280573	128	105	64
3.096402946	128	93	64
3.117386107	144	24	89
3.135051581	128	24	64
3.137903512	128	62	64
3.139826926	128	104	64
3.155228501	128	98	64
3.2274579230000002	128	46	64
3.243784913	144	37	65
3.257315362	144	72	68
3.291114243	144	73	30
3.331869101	128	73	64
3.355109476	128	89	64
3.371010851	128	72	64
3.372902557	144	43	63
3.395436781	144	58	42
3.400916215	144	79	65
3.4197603069999998	128	43	64
3.459906473	144	99	75
3.468449344	128	99	64
3.480518476	144	108	26
3.489298897	144	48	65
3.517960746	128	108	64
3.532606507	144	21	35
3.5400855570000003	144	95	65
3.542266773	128	58	64
3.550113601	144	76	76
3.551131114	128	95	64
3.555071455	128	79	64
3.558594626	144	98	44
3.558954237	128	76	64
3.584707033	128	37	64
3.600691548	128	21	64
3.615175996	144	65	53
3.633596457	144	62	82
3.661507788	144	89	86
3.663914455	144	103	21
3.692033228	144	32	56
3.701472623	128	65	64
3.703701638	144	30	49
3.704368982	128	62	64
3.70820472	128	98	64
3.7162817280000002	144	37	59
